title,severity,cvss_base_score,cvss_vector,details_md,references
Cryptographic Weakness - Weak Hash,unclassified,,,"## Description
Cryptography is used to ensure secure storage and transmission of data. However, there are a number of best practices that must be followed to ensure the cryptography in use remains secure and does not result in the exposure of sensitive data. A weak hash was identified which can allow an attacker to break the confidentiality and integrity of requests sent to and from the endpoint.

**Business Impact**

This vulnerability can lead to reputational damage of the company through the impact to customers’ trust, and the ability of an attacker to view data. The severity of the impact to the business is dependent on the sensitivity of the accessible data being transmitted by the application.

**Steps to Reproduce**

1. Enable a HTTP interception proxy, such as Burp Suite or OWASP ZAP
1. Setup {{software}} to intercept and log requests
1. Use a browser to navigate to: {{URL}}
1. {{action}} to view unencrypted requests

**Proof of Concept (PoC)**

The screenshot below demonstrates the weak hash:

{{screenshot}}

## Resolution
Implement robust entropy for the cryptographic algorithms and ensure that the algorithms, protocols, and keys in place are kept up to date. Ensure the use of only vetted and unbroken hashing algorithms.",https://owasp.org/Top10/A02_2021-Cryptographic_Failures/
Cryptographic Weakness - Weak Hash - Use of Predictable Salt,info,,,"## Description
Cryptography is used to ensure secure storage and transmission of data. However, there are a number of best practices that must be followed to ensure the cryptography in use remains secure and does not result in the exposure of sensitive data. A predictable salt in the hashing mechanism was identified which can allow an attacker to use rainbow table attacks.

**Business Impact**

This vulnerability can lead to reputational damage of the company through the impact to customers’ trust, and the ability of an attacker to view data. The severity of the impact to the business is dependent on the sensitivity of the accessible data being transmitted by the application.

**Steps to Reproduce**

1. Enable a HTTP interception proxy, such as Burp Suite or OWASP ZAP
1. Setup {{software}} to intercept and log requests
1. Use a browser to navigate to: {{URL}}
1. {{action}} to view unencrypted requests

**Proof of Concept (PoC)**

The screenshot below demonstrates the predictable salt:

{{screenshot}}

## Resolution
Implement robust entropy for the cryptographic algorithms and ensure that the algorithms, protocols, and keys in place are kept up to date. Ensure the use of only vetted and unbroken hashing algorithms.",https://owasp.org/Top10/A02_2021-Cryptographic_Failures/
Cryptographic Weakness - Weak Hash - Predictable Hash Collision,unclassified,,,"## Description
Cryptography is used to ensure secure storage and transmission of data. However, there are a number of best practices that must be followed to ensure the cryptography in use remains secure and does not result in the exposure of sensitive data. A predictable hash collision was identified where the same hash value is generated by a hashing algorithm for different plaintext inputs. This can allow an attacker to break the confidentiality and integrity of requests sent to and from the endpoint.

**Business Impact**

This vulnerability can lead to reputational damage of the company through the impact to customers’ trust, and the ability of an attacker to view data. The severity of the impact to the business is dependent on the sensitivity of the accessible data being transmitted by the application.

**Steps to Reproduce**

1. Enable a HTTP interception proxy, such as Burp Suite or OWASP ZAP
1. Setup {{software}} to intercept and log requests
1. Use a browser to navigate to: {{URL}}
1. {{action}} to view unencrypted requests

**Proof of Concept (PoC)**

The screenshot below demonstrates the predictable hash collision:

{{screenshot}}

## Resolution
Implement robust entropy for the cryptographic algorithms and ensure that the algorithms, protocols, and keys in place are kept up to date. Ensure the use of only vetted and unbroken hashing algorithms.",https://owasp.org/Top10/A02_2021-Cryptographic_Failures/
Cryptographic Weakness - Weak Hash - Lack of Salt,unclassified,,,"## Description
Cryptography is used to ensure secure storage and transmission of data. However, there are a number of best practices that must be followed to ensure the cryptography in use remains secure and does not result in the exposure of sensitive data. It was identified that the hash does not have a salt which can allow an attacker to use rainbow table attacks.

**Business Impact**

This vulnerability can lead to reputational damage of the company through the impact to customers’ trust, and the ability of an attacker to view data. The severity of the impact to the business is dependent on the sensitivity of the accessible data being transmitted by the application.

**Steps to Reproduce**

1. Enable a HTTP interception proxy, such as Burp Suite or OWASP ZAP
1. Setup {{software}} to intercept and log requests
1. Use a browser to navigate to: {{URL}}
1. {{action}} to view unencrypted requests

**Proof of Concept (PoC)**

The screenshot below demonstrates the lack of salt:

{{screenshot}}

## Resolution
Implement robust entropy for the cryptographic algorithms and ensure that the algorithms, protocols, and keys in place are kept up to date. Ensure that a unique, randomly generated salt value is used prior to the computation of the hash.",https://owasp.org/Top10/A02_2021-Cryptographic_Failures/
Cryptographic Weakness - Incomplete Cleanup of Keying Material,info,,,"## Description
Cryptography is used to ensure secure storage and transmission of data. However, there are a number of best practices that must be followed to ensure the cryptography in use remains secure and does not result in the exposure of sensitive data. It was identified that the application's cleanup of keying material is incomplete and it retains sensitive cryptographic data in memory longer than is necessary. This can allow an attacker to break the confidentiality of requests sent to and from the endpoint.

**Business Impact**

This vulnerability can lead to reputational damage of the company through the impact to customers’ trust, and the ability of an attacker to view data. The severity of the impact to the business is dependent on the sensitivity of the accessible data being transmitted by the application.

**Steps to Reproduce**

1. Enable a HTTP interception proxy, such as Burp Suite or OWASP ZAP
1. Setup {{software}} to intercept and log requests
1. Use a browser to navigate to: {{URL}}
1. {{action}} to view unencrypted requests

**Proof of Concept (PoC)**

The following screenshot(s) demonstrate(s) this vulnerability:

{{screenshot}}

## Resolution
Implement strong cryptography and keep up to date algorithms, protocols, and keys in place. It is best practice for the application to retain sensitive cryptographic data within memory for longer than needed by the application.",https://owasp.org/Top10/A02_2021-Cryptographic_Failures/
Cryptographic Weakness - Insufficient Verification of Data Authenticity,unclassified,,,"## Description
Cryptography is used to ensure secure storage and transmission of data. However, there are a number of best practices that must be followed to ensure the cryptography in use remains secure and does not result in the exposure of sensitive data. It was identified that the authenticity of the data used in the cryptographic processes is not verified which can lead to data corruption. Ths can allow an attacker to break the confidentiality and integrity of requests sent to and from the endpoint.

**Business Impact**

This vulnerability can lead to reputational damage of the company through the impact to customers’ trust, and the ability of an attacker to view data. The severity of the impact to the business is dependent on the sensitivity of the accessible data being transmitted by the application.

**Steps to Reproduce**

1. Enable a HTTP interception proxy, such as Burp Suite or OWASP ZAP
1. Setup {{software}} to intercept and log requests
1. Use a browser to navigate to: {{URL}}
1. {{action}} to view unencrypted requests

**Proof of Concept (PoC)**

The screenshot below demonstrates the insufficient verification of data authenticity:

{{screenshot}}

## Resolution
Implement strong cryptography and keep up to date algorithms, protocols, and keys in place. Ensure that the application validates the authenticity of the data used across the cryptographic implementations.",https://owasp.org/Top10/A02_2021-Cryptographic_Failures/
Cryptographic Weakness - Insufficient Verification of Data Authenticity - Cryptographic Signature,unclassified,,,"## Description
Cryptography is used to ensure secure storage and transmission of data. However, there are a number of best practices that must be followed to ensure the cryptography in use remains secure and does not result in the exposure of sensitive data. It was identified that the application fails to verify the cryptographic signature. Ths can allow an attacker to break the confidentiality and integrity of requests sent to and from the endpoint.

**Business Impact**

This vulnerability can lead to reputational damage of the company through the impact to customers’ trust, and the ability of an attacker to view data. The severity of the impact to the business is dependent on the sensitivity of the accessible data being transmitted by the application.

**Steps to Reproduce**

1. Enable a HTTP interception proxy, such as Burp Suite or OWASP ZAP
1. Setup {{software}} to intercept and log requests
1. Use a browser to navigate to: {{URL}}
1. {{action}} to view unencrypted requests

**Proof of Concept (PoC)**

The screenshot below demonstrates the insufficient validation of the cryptographic signature:

{{screenshot}}

## Resolution
Implement strong cryptography and keep up to date algorithms, protocols, and keys in place. Ensure that the application validates the cryptographic signature and associated data, and denies requests that contain an invalid cryptographic signature.",https://owasp.org/Top10/A02_2021-Cryptographic_Failures/
Cryptographic Weakness - Insufficient Verification of Data Authenticity - Integrity Check Value (ICV),low,,,"## Description
Cryptography is used to ensure secure storage and transmission of data. However, there are a number of best practices that must be followed to ensure the cryptography in use remains secure and does not result in the exposure of sensitive data. It was identified that the authenticity of the Integrity Check Value (ICV) is not verified which can lead to data corruption. Ths can allow an attacker to break the confidentiality and integrity of requests sent to and from the endpoint.

**Business Impact**

This vulnerability can lead to reputational damage of the company through the impact to customers’ trust, and the ability of an attacker to view data. The severity of the impact to the business is dependent on the sensitivity of the accessible data being transmitted by the application.

**Steps to Reproduce**

1. Enable a HTTP interception proxy, such as Burp Suite or OWASP ZAP
1. Setup {{software}} to intercept and log requests
1. Use a browser to navigate to: {{URL}}
1. {{action}} to view unencrypted requests

**Proof of Concept (PoC)**

The screenshot below demonstrates the insufficient verification of the ICV:

{{screenshot}}

## Resolution
Implement strong cryptography and keep up to date algorithms, protocols, and keys in place. Ensure that the application validates the authenticity of the ICV data and follows best practices for ICV validation steps.",https://owasp.org/Top10/A02_2021-Cryptographic_Failures/
Cryptographic Weakness - Use of Expired Cryptographic Key (or Certificate),low,,,"## Description
Cryptography is used to ensure secure storage and transmission of data. However, there are a number of best practices that must be followed to ensure the cryptography in use remains secure and does not result in the exposure of sensitive data. It was identified that the application uses an expired cryptographic key or certificate which can allow an attacker to break the confidentiality of requests sent to and from the endpoint.

**Business Impact**

This vulnerability can lead to reputational damage of the company through the impact to customers’ trust, and the ability of an attacker to view data. The severity of the impact to the business is dependent on the sensitivity of the accessible data being transmitted by the application.

**Steps to Reproduce**

1. Enable a HTTP interception proxy, such as Burp Suite or OWASP ZAP
1. Setup {{software}} to intercept and log requests
1. Use a browser to navigate to: {{URL}}
1. {{action}} to view unencrypted requests

**Proof of Concept (PoC)**

The following screenshot(s) demonstrate(s) this vulnerability:

{{screenshot}}

## Resolution
Implement strong cryptography and keep up to date algorithms, protocols, and keys in place. It is best practice for the application to verify that the certificate produced by an entity is not expired or revoked, and that it rejects attempts to use expired keys or certificates.",https://owasp.org/Top10/A02_2021-Cryptographic_Failures/
Cryptographic Weakness - Key Reuse,unclassified,,,"## Description
Cryptography is used to ensure secure storage and transmission of data. However, there are a number of best practices that must be followed to ensure the cryptography in use remains secure and does not result in the exposure of sensitive data. It was identified that the application's cryptographic mechanism reuses keys. This can allow an attacker to leverage the key to gain access to information or privileges within the application that are protected by the same key.

**Business Impact**

This vulnerability can lead to reputational damage of the company through the impact to customers’ trust, and the ability of an attacker to view data. The severity of the impact to the business is dependent on the sensitivity of the accessible data being transmitted by the application.

**Steps to Reproduce**

1. Enable a HTTP interception proxy, such as Burp Suite or OWASP ZAP
1. Setup {{software}} to intercept and log requests
1. Use a browser to navigate to: {{URL}}
1. {{action}} to view unencrypted requests

**Proof of Concept (PoC)**

The screenshot below demonstrates the key reuse:

{{screenshot}}

## Resolution
Implement strong cryptography and keep up to date algorithms, protocols, and keys in place. Best practices include ensuring that the application does not reuse keys across different trust zones.",https://owasp.org/Top10/A02_2021-Cryptographic_Failures/
Cryptographic Weakness - Key Reuse - Intra-Environment,info,,,"## Description
Cryptography is used to ensure secure storage and transmission of data. However, there are a number of best practices that must be followed to ensure the cryptography in use remains secure and does not result in the exposure of sensitive data. It was identified that the application's cryptographic mechanism reuses keys within the same environment (intra-environment). This can allow an attacker to leverage the key to gain access to information or privileges within the application that are protected by the same key.

**Business Impact**

This vulnerability can lead to reputational damage of the company through the impact to customers’ trust, and the ability of an attacker to view data. The severity of the impact to the business is dependent on the sensitivity of the accessible data being transmitted by the application.

**Steps to Reproduce**

1. Enable a HTTP interception proxy, such as Burp Suite or OWASP ZAP
1. Setup {{software}} to intercept and log requests
1. Use a browser to navigate to: {{URL}}
1. {{action}} to view unencrypted requests

**Proof of Concept (PoC)**

The screenshot below demonstrates the  intra-environment key reuse:

{{screenshot}}

## Resolution
Implement strong cryptography and keep up to date algorithms, protocols, and keys in place. Best practices include ensuring that the application does not reuse keys.",https://owasp.org/Top10/A02_2021-Cryptographic_Failures/
Cryptographic Weakness - Key Reuse - Lack of Perfect Forward Secrecy,low,,,"## Description
It was identified that the application's cryptographic mechanism lacks the use of Perfect Forward Secrecy (PFS). PFS involves the negotiation of an ephemeral key pair for each newly create session between two parties. Without PFS, an attacker would be able to compromise all past and future sessions based on a set of keys that they can decrypt. They can then leverage the keys to gain access to information or privileges within the application that are protected by the same key.

**Business Impact**

This vulnerability can lead to reputational damage of the company through the impact to customers’ trust, and the ability of an attacker to view data. The severity of the impact to the business is dependent on the sensitivity of the accessible data being transmitted by the application.

**Steps to Reproduce**

1. Enable a HTTP interception proxy, such as Burp Suite or OWASP ZAP
1. Setup {{software}} to intercept and log requests
1. Use a browser to navigate to: {{URL}}
1. {{action}} to view unencrypted requests

**Proof of Concept (PoC)**

The screenshot below demonstrates the lack of PFS:

{{screenshot}}

## Resolution
Implement strong cryptography and keep up to date algorithms, protocols, and keys in place. Best practices include ensuring that perfect forward secrecy is enabled for all implemented encryption protocols.",https://owasp.org/Top10/A02_2021-Cryptographic_Failures/
Cryptographic Weakness - Key Reuse - Inter-Environment,high,,,"## Description
Cryptography is used to ensure secure storage and transmission of data. However, there are a number of best practices that must be followed to ensure the cryptography in use remains secure and does not result in the exposure of sensitive data. It was identified that the application's cryptographic mechanism reuses keys across different environment (inter-environment). This can allow an attacker to leverage the key to gain access to information or privileges within the application that are protected by the same key.

**Business Impact**

This vulnerability can lead to reputational damage of the company through the impact to customers’ trust, and the ability of an attacker to view data. The severity of the impact to the business is dependent on the sensitivity of the accessible data being transmitted by the application.

**Steps to Reproduce**

1. Enable a HTTP interception proxy, such as Burp Suite or OWASP ZAP
1. Setup {{software}} to intercept and log requests
1. Use a browser to navigate to: {{URL}}
1. {{action}} to view unencrypted requests

**Proof of Concept (PoC)**

The screenshot below demonstrates the inter-environment key reuse:

{{screenshot}}

## Resolution
Implement strong cryptography and keep up to date algorithms, protocols, and keys in place. Best practices include ensuring that the application does not reuse keys across different trust zones.",https://owasp.org/Top10/A02_2021-Cryptographic_Failures/
Cryptographic Weakness - Broken Cryptography,unclassified,,,"## Description
Cryptography is used to ensure secure storage and transmission of data. However, there are a number of best practices that must be followed to ensure the cryptography in use remains secure and does not result in the exposure of sensitive data. The application uses broken, weak, or otherwise flawed cryptography which can allow an attacker to decrypt sensitive information.

**Business Impact**

This vulnerability can lead to reputational damage of the company through the impact to customers’ trust, and the ability of an attacker to view data. The severity of the impact to the business is dependent on the sensitivity of the accessible data being transmitted by the application.

**Steps to Reproduce**

1. Enable a HTTP interception proxy, such as Burp Suite or OWASP ZAP
1. Setup {{software}} to intercept and log requests
1. Use a browser to navigate to: {{URL}}
1. {{action}} to view unencrypted requests

**Proof of Concept (PoC)**

The following screenshot(s) demonstrate(s) this vulnerability:

{{screenshot}}

## Resolution
Implement strong cryptography and keep up to date algorithms, protocols, and keys in place. Use only trustworthy cryptographic algorithms outlined within security standards and regulations.","https://cheatsheetseries.owasp.org/cheatsheets/Cryptographic_Storage_Cheat_Sheet.html, https://owasp.org/Top10/A02_2021-Cryptographic_Failures/"
Cryptographic Weakness - Broken Cryptography - Use of Broken Cryptographic Primitive,medium,,,"## Description
Cryptography is used to ensure secure storage and transmission of data. However, there are a number of best practices that must be followed to ensure the cryptography in use remains secure and does not result in the exposure of sensitive data. The application uses a broken cryptographic primitive which can allow an attacker to decrypt sensitive information.

**Business Impact**

This vulnerability can lead to reputational damage of the company through the impact to customers’ trust, and the ability of an attacker to view data. The severity of the impact to the business is dependent on the sensitivity of the accessible data being transmitted by the application.

**Steps to Reproduce**

1. Enable a HTTP interception proxy, such as Burp Suite or OWASP ZAP
1. Setup {{software}} to intercept and log requests
1. Use a browser to navigate to: {{URL}}
1. {{action}} to view unencrypted requests

**Proof of Concept (PoC)**

The following screenshot(s) demonstrate(s) this vulnerability:

{{screenshot}}

## Resolution
Implement strong cryptography and keep up to date algorithms, protocols, and keys in place. Use only trustworthy cryptographic algorithms outlined within security standards and regulations.","https://cheatsheetseries.owasp.org/cheatsheets/Cryptographic_Storage_Cheat_Sheet.html, https://owasp.org/Top10/A02_2021-Cryptographic_Failures/"
Cryptographic Weakness - Broken Cryptography - Use of Vulnerable Cryptographic Library,low,,,"## Description
Cryptography is used to ensure secure storage and transmission of data. However, there are a number of best practices that must be followed to ensure the cryptography in use remains secure and does not result in the exposure of sensitive data. The application uses a vulnerable cryptographic library which can allow an attacker to decrypt sensitive information.

**Business Impact**

This vulnerability can lead to reputational damage of the company through the impact to customers’ trust, and the ability of an attacker to view data. The severity of the impact to the business is dependent on the sensitivity of the accessible data being transmitted by the application.

**Steps to Reproduce**

1. Enable a HTTP interception proxy, such as Burp Suite or OWASP ZAP
1. Setup {{software}} to intercept and log requests
1. Use a browser to navigate to: {{URL}}
1. {{action}} to view unencrypted requests

**Proof of Concept (PoC)**

The following screenshot(s) demonstrate(s) this vulnerability:

{{screenshot}}

## Resolution
Implement strong cryptography and keep up to date algorithms, protocols, and keys in place. Use only trustworthy cryptographic algorithms outlined within security standards and regulations.","https://cheatsheetseries.owasp.org/cheatsheets/Cryptographic_Storage_Cheat_Sheet.html, https://owasp.org/Top10/A02_2021-Cryptographic_Failures/"
Cryptographic Weakness - Insecure Key Generation,unclassified,,,"## Description
Cryptography is used to ensure secure storage and transmission of data. However, there are a number of best practices that must be followed to ensure the cryptography in use remains secure and does not result in the exposure of sensitive data. It was identified that the endpoint contains an insecure key generation mechanism which can allow an attacker to break the confidentiality of requests sent to and from the endpoint.

**Business Impact**

This vulnerability can lead to reputational damage of the company through the impact to customers’ trust, and the ability of an attacker to view data. The severity of the impact to the business is dependent on the sensitivity of the accessible data being transmitted by the application.

**Steps to Reproduce**

1. Enable a HTTP interception proxy, such as Burp Suite or OWASP ZAP
1. Setup {{software}} to intercept and log requests
1. Use a browser to navigate to: {{URL}}
1. {{action}} to view unencrypted requests

**Proof of Concept (PoC)**

The screenshot below demonstrates the insecure key generation:

{{screenshot}}

## Resolution
Implement strong cryptography and keep up to date algorithms, protocols, and keys in place.",https://owasp.org/Top10/A02_2021-Cryptographic_Failures/
